character,level,strokes,grade,freq,onyomi,kunyomi,meanings
氏,N1,4,4,84,シ,うじ; -うじ,family name; surname; clan
統,N1,12,5,125,トウ,す.べる,overall; relationship; ruling; governing
保,N1,9,5,146,ホ; ホウ,たも.つ,protect; guarantee; keep; preserve; sustain; support
第,N1,11,3,160,ダイ; テイ,,No.; residence
結,N1,12,4,162,ケツ; ケチ,むす.ぶ; ゆ.う; ゆ.わえる,tie; bind; contract; join; organize; do up hair; fasten
派,N1,9,6,164,ハ,,faction; group; party; clique; sect; school
案,N1,10,4,206,アン,つくえ,plan; suggestion; draft; ponder; fear; proposition; idea; expectation; worry; table; bench
策,N1,12,6,209,サク,,scheme; plan; policy; step; means
基,N1,11,5,241,キ,もと; もとい,fundamentals; radical (chem); counter for machines; foundation
価,N1,8,5,250,カ; ケ,あたい,value; price
提,N1,12,5,254,テイ; チョウ; ダイ,さ.げる,propose; take along; carry in hand
挙,N1,10,4,257,キョ,あ.げる; あ.がる; こぞ.る,raise; plan; project; behavior; actions
応,N1,7,5,266,オウ; ヨウ; -ノウ,あた.る; まさに; こた.える,apply; answer; yes; OK; reply; accept
企,N1,6,8,278,キ,くわだ.てる; たくら.む,undertake; scheme; design; attempt; plan
検,N1,12,5,290,ケン,しら.べる,examination; investigate
藤,N1,18,8,291,トウ; ドウ,ふじ,wisteria
沢,N1,7,8,296,タク,さわ; うるお.い; うるお.す; つや,swamp; marsh; brilliance; grace
裁,N1,12,6,297,サイ,た.つ; さば.く,tailor; judge; decision; cut out (pattern)
証,N1,12,5,306,ショウ,あかし,evidence; proof; certificate
援,N1,12,8,312,エン,,abet; help; save
施,N1,9,8,323,シ; セ,ほどこ.す,give; bestow; perform; alms
井,N1,4,4,339,セイ; ショウ,い,well; well crib; town; community
護,N1,20,5,351,ゴ,まも.る,safeguard; protect
展,N1,10,6,352,テン,,unfold; expand
態,N1,14,5,353,タイ,わざ.と,attitude; condition; figure; appearance; voice (of verbs)
鮮,N1,17,8,355,セン,あざ.やか,fresh; vivid; clear; brilliant; Korea
視,N1,11,6,362,シ,み.る,inspection; regard as; see; look at
条,N1,7,5,363,ジョウ; チョウ; デキ,えだ; すじ,"article; clause; counter for articles, clauses, paragraphs, etc.; twig; item; stripe; streak"
幹,N1,13,5,364,カン,みき,tree trunk; main part; talent; capability
独,N1,9,5,365,ドク; トク,ひと.り,single; alone; spontaneously; Germany
宮,N1,10,3,367,キュウ; グウ; ク; クウ,みや,Shinto shrine; constellations; palace; princess
率,N1,11,5,383,ソツ; リツ; シュツ,ひき.いる,ratio; rate; proportion; %; factor; lead; spearhead; command
衛,N1,16,5,400,エイ; エ,,defense; protection
張,N1,11,5,403,チョウ,は.る; -は.り; -ば.り,counter for bows & stringed instruments; stretch; spread; put up (tent)
監,N1,15,8,408,カン,,oversee; official; govt office; rule; administer
環,N1,17,8,409,カン,わ,ring; circle; loop
審,N1,15,8,412,シン,つまび.らか; つぶさ.に,hearing; judge; trial
義,N1,13,5,415,ギ,,righteousness; justice; morality; honor; loyalty; meaning
訴,N1,12,8,427,ソ,うった.える,accusation; sue; complain of pain; appeal to
株,N1,10,6,432,シュ,かぶ,stocks; stump; shares; stock; counter for small plants
姿,N1,9,6,441,シ,すがた,figure; form; shape
閣,N1,14,6,444,カク,,tower; tall building; palace
衆,N1,12,6,450,シュウ; シュ,おお.い,masses; great numbers; multitude; populace
評,N1,12,5,454,ヒョウ,,evaluate; criticism; comment
影,N1,15,8,464,エイ,かげ,shadow; silhouette; phantom
松,N1,8,4,471,ショウ,まつ,pine tree
撃,N1,15,8,473,ゲキ,う.つ,beat; attack; defeat; conquer
佐,N1,7,4,474,サ,,assistant; help
核,N1,10,8,475,カク,,nucleus; core; kernel
整,N1,16,3,478,セイ,ととの.える; ととの.う,organize; arranging; tune; tone; meter; key (music)
融,N1,16,8,481,ユウ,と.ける; と.かす,dissolve; melt
製,N1,14,5,488,セイ,,made in...; manufacture
票,N1,11,4,489,ヒョウ,,ballot; label; ticket; sign
渉,N1,11,8,499,ショウ,わた.る,ford; go cross; transit; ferry; import; involve
響,N1,20,8,502,キョウ,ひび.く,echo; sound; resound; ring; vibrate
推,N1,11,6,507,スイ,お.す,conjecture; infer; guess; suppose; support; push (for)
請,N1,15,8,524,セイ; シン; ショウ,こ.う; う.ける,solicit; invite; ask
器,N1,15,4,525,キ,うつわ,utensil; vessel; receptacle; implement; instrument; ability; container; tool; set
士,N1,3,5,526,シ,さむらい,gentleman; scholar; samurai; samurai radical (no. 33)
討,N1,10,6,528,トウ,う.つ,chastise; attack; defeat; destroy; conquer
攻,N1,7,8,532,コウ,せ.める,aggression; attack; criticize; polish
崎,N1,11,4,533,キ,さき; さい; みさき,promontory; cape; spit
督,N1,13,8,534,トク,,coach; command; urge; lead; supervise
授,N1,11,5,535,ジュ,さず.ける; さず.かる,impart; instruct; grant; confer
催,N1,13,8,536,サイ,もよう.す; もよお.す,sponsor; hold (a meeting); give (a dinner)
及,N1,3,8,544,キュウ,およ.ぶ; およ.び; および; およ.ぼす,reach out; exert; exercise; cause
憲,N1,16,6,551,ケン,,constitution; law
離,N1,19,8,555,リ,はな.れる; はな.す,detach; separation; disjoin; digress
激,N1,16,6,560,ゲキ,はげ.しい,violent; get excited; enraged; chafe; incite
摘,N1,14,8,564,テキ,つ.む,pinch; pick; pluck; trim; clip; summarize
系,N1,7,6,567,ケイ,,lineage; system
批,N1,7,6,568,ヒ,,criticism; strike
郎,N1,9,8,569,ロウ; リョウ,おとこ,son; counter for sons
健,N1,11,4,572,ケン,すこ.やか,healthy; health; strength; persistence
盟,N1,13,6,587,メイ,,alliance; oath
従,N1,10,6,601,ジュウ; ショウ; ジュ,したが.う; したが.える; より,accompany; obey; submit to; comply; follow; secondary; incidental; subordinate
修,N1,10,5,603,シュウ; シュ,おさ.める; おさ.まる,discipline; conduct oneself well; study; master
隊,N1,12,4,605,タイ,,regiment; party; company; squad
織,N1,18,5,608,ショク; シキ,お.る; お.り; おり; -おり; -お.り,weave; fabric
拡,N1,8,6,611,カク; コウ,ひろ.がる; ひろ.げる; ひろ.める,broaden; extend; expand; enlarge
故,N1,9,5,612,コ,ゆえ; ふる.い; もと,happenstance; especially; intentionally; reason; cause; circumstances; the late; therefore; consequently
振,N1,10,8,614,シン,ふ.る; ふ.れる; ふ.るう,shake; wave; wag; swing
弁,N1,5,5,619,ベン; ヘン,かんむり; わきま.える; わ.ける; はなびら; あらそ.う,valve; petal; braid; speech; dialect; discrimination; dispose of; distinguish; conical cap
就,N1,12,6,624,シュウ; ジュ,つ.く; つ.ける,concerning; settle; take position; depart; study; per
異,N1,11,6,631,イ,こと; こと.なる; け,uncommon; different; queerness; strangeness; wonderful; curious; unusual
献,N1,13,8,637,ケン; コン,たてまつ.る,offering; counter for drinks; present; offer
厳,N1,17,6,638,ゲン; ゴン,おごそ.か; きび.しい; いか.めしい; いつくし,stern; strictness; severity; rigidity
維,N1,14,8,643,イ,,fiber; tie; rope
浜,N1,10,8,645,ヒン,はま,seacoast; beach; seashore
遺,N1,15,6,647,イ; ユイ,のこ.す,bequeath; leave behind; reserve
塁,N1,12,8,651,ルイ; ライ; スイ,とりで,bases; fort; rampart; walls; base(ball)
邦,N1,7,8,654,ホウ,くに,home country; country; Japan
素,N1,10,5,660,ソ; ス,もと,elementary; principle; naked; uncovered
遣,N1,13,8,664,ケン,つか.う; -つか.い; -づか.い; つか.わす; や.る,dispatch; despatch; send; give; donate; do; undertake
抗,N1,7,8,666,コウ,あらが.う,confront; resist; defy; oppose
模,N1,14,6,668,モ; ボ,,imitation; copy; mock
雄,N1,12,8,669,ユウ,お-; おす; おん,masculine; male; hero; leader; superiority; excellence
益,N1,10,5,674,エキ; ヤク,ま.す,benefit; gain; profit; advantage
緊,N1,15,8,677,キン,し.める; し.まる,tense; solid; hard; reliable; tight
標,N1,15,4,686,ヒョウ,しるべ; しるし,signpost; seal; mark; stamp; imprint; symbol; emblem; trademark; evidence; souvenir; target
宣,N1,9,6,695,セン,のたま.う,proclaim; say; announce
昭,N1,9,3,697,ショウ,,shining; bright
廃,N1,12,8,698,ハイ,すた.れる; すた.る,abolish; obsolete; cessation; discarding; abandon
伊,N1,6,9,703,イ,かれ,Italy; that one
江,N1,6,8,704,コウ,え,creek; inlet; bay
僚,N1,14,8,709,リョウ,,colleague; official; companion
吉,N1,6,8,711,キチ; キツ,よし,good luck; joy; congratulations
盛,N1,11,6,712,セイ; ジョウ,も.る; さか.る; さか.ん,boom; prosper; copulate
皇,N1,9,6,721,コウ; オウ,,emperor
臨,N1,18,6,722,リン,のぞ.む,look to; face; meet; confront; attend; call on
踏,N1,15,8,723,トウ,ふ.む; ふ.まえる,step; trample; carry through; appraise; evade payment
壊,N1,16,8,727,カイ; エ,こわ.す; こわ.れる; やぶ.る,demolition; break; destroy
債,N1,13,8,728,サイ,,bond; loan; debt
興,N1,16,5,734,コウ; キョウ,おこ.る; おこ.す,entertain; revive; retrieve; interest; pleasure
源,N1,13,6,738,ゲン,みなもと,source; origin
儀,N1,15,8,739,ギ,,ceremony; rule; affair; case; a matter
創,N1,12,6,741,ソウ; ショウ,つく.る; はじ.める; きず; けず.しける,genesis; wound; injury; hurt; start; originate
障,N1,14,6,742,ショウ,さわ.る,hinder; hurt; harm
継,N1,13,8,743,ケイ,つ.ぐ; まま-,inherit; succeed; continue; patch; graft (tree)
筋,N1,12,6,744,キン,すじ,muscle; sinew; tendon; fiber; plot; plan; descent
闘,N1,18,8,751,トウ,たたか.う; あらそ.う,fight; war
葬,N1,12,8,754,ソウ,ほうむ.る,interment; bury; shelve
避,N1,16,8,756,ヒ,さ.ける; よ.ける,evade; avoid; avert; ward off; shirk; shun
司,N1,5,4,759,シ,つかさど.る,director; official; govt office; rule; administer
康,N1,11,4,760,コウ,,ease; peace
善,N1,12,6,765,ゼン,よ.い; い.い; よ.く; よし.とする,virtuous; good; goodness
逮,N1,11,8,766,タイ,,apprehend; chase
迫,N1,8,8,773,ハク,せま.る,urge; force; imminent; spur on
惑,N1,12,8,777,ワク,まど.う,beguile; delusion; perplexity
崩,N1,11,8,778,ホウ,くず.れる; -くず.れ; くず.す,crumble; die; demolish; level
紀,N1,9,5,780,キ,,chronicle; account; narrative; history; annals; geologic period
聴,N1,17,8,781,チョウ; テイ,き.く; ゆる.す,listen; headstrong; naughty; careful inquiry
脱,N1,11,8,782,ダツ,ぬ.ぐ; ぬ.げる,undress; removing; escape from; get rid of; be left out; take off
級,N1,9,3,785,キュウ,,class; rank; grade
博,N1,12,4,794,ハク; バク,,Dr.; command; esteem; win acclaim; Ph.D.; exposition; fair
締,N1,15,8,797,テイ,し.まる; し.まり; し.める; -し.め; -じ.め,tighten; tie; shut; lock; fasten
救,N1,11,5,799,キュウ,すく.う,salvation; save; help; rescue; reclaim
執,N1,11,8,800,シツ; シュウ,と.る,tenacious; take hold; grasp; take to heart
房,N1,8,8,808,ボウ,ふさ,tassel; tuft; fringe; bunch; lock (hair); segment (orange); house; room
撤,N1,15,8,811,テツ,,remove; withdraw; disarm; dismantle; reject; exclude
削,N1,9,8,814,サク,けず.る; はつ.る; そ.ぐ,plane; sharpen; whittle; pare; shave
密,N1,11,6,815,ミツ,ひそ.か,secrecy; density (pop); minuteness; carefulness
措,N1,11,8,818,ソ,お.く,set aside; give up; suspend; discontinue; lay aside; except
志,N1,7,5,823,シ,シリング; こころざ.す; こころざし,intention; plan; resolve; aspire; motive; hopes; shilling
載,N1,13,8,825,サイ,の.せる; の.る,ride; board; get on; place; spread; 10**44; record; publish
陣,N1,10,8,828,ジン,,camp; battle array; ranks; position; sudden; brief time
我,N1,7,6,829,ガ,われ; わ; わ.が-; わが-,ego; I; selfish; our; oneself
為,N1,9,8,831,イ,ため; な.る; な.す; す.る; たり; つく.る; なり,do; change; make; benefit; welfare; be of use; reach to; try; practice; cost; serve as; good; advantage; as a result of
抑,N1,7,8,834,ヨク,おさ.える,repress; well; now; in the first place; push; shove; press; seal; do in spite of
幕,N1,13,6,835,マク; バク,とばり,curtain; bunting; act of play
染,N1,9,6,837,セン,そ.める; そ.まる; し.みる; し.み,dye; color; paint; stain; print
奈,N1,8,4,841,ナ; ナイ; ダイ,いかん; からなし,Nara; what?
傷,N1,13,6,845,ショウ,きず; いた.む; いた.める,wound; hurt; injure; impair; pain; injury; cut; gash; scar; weak point
択,N1,7,8,847,タク,えら.ぶ,choose; select; elect; prefer
秀,N1,7,8,848,シュウ,ひい.でる,excel; excellence; beauty; surpass
徴,N1,14,8,850,チョウ; チ,しるし,indications; sign; omen; symptom; collect; seek; refer to; question
弾,N1,12,8,853,ダン; タン,ひ.く; -ひ.き; はず.む; たま; はじ.く; はじ.ける; ただ.す; はじ.きゆみ,bullet; twang; flip; snap
償,N1,17,8,854,ショウ,つぐな.う,reparation; make up for; recompense; redeem
功,N1,5,4,857,コウ; ク,いさお,achievement; merits; success; honor; credit
拠,N1,8,8,858,キョ; コ,よ.る,foothold; based on; follow; therefore
秘,N1,10,6,862,ヒ,ひ.める; ひそ.か; かく.す,secret; conceal
拒,N1,8,8,863,キョ; ゴ,こば.む,repel; refuse; reject; decline
刑,N1,6,8,864,ケイ,,punish; penalty; sentence; punishment
塚,N1,12,8,869,チョウ,つか; -づか,hillock; mound
致,N1,10,8,870,チ,いた.す,doth; do; send; forward; cause; exert; incur; engage
繰,N1,19,8,872,ソウ,く.る,winding; reel; spin; turn (pages); look up; refer to
尾,N1,7,8,875,ビ,お,tail; end; counter for fish; lower slope of mountain
描,N1,11,8,876,ビョウ,えが.く; か.く,sketch; compose; write; draw; paint
鈴,N1,13,8,880,レイ; リン,すず,small bell; buzzer
盤,N1,15,8,881,バン,,tray; shallow bowl; platter; tub; board; phonograph record
項,N1,12,8,884,コウ,うなじ,paragraph; nape of neck; clause; item; term (expression)
喪,N1,12,8,885,ソウ,も,miss; mourning
伴,N1,7,8,886,ハン; バン,ともな.う,consort; accompany; bring with; companion
養,N1,15,4,888,ヨウ; リョウ,やしな.う,foster; bring up; rear; develop; nurture
懸,N1,20,8,889,ケン; ケ,か.ける; か.かる,state of suspension; hang; depend; consult; distant; far apart
街,N1,12,4,891,ガイ; カイ,まち,boulevard; street; town
契,N1,9,8,898,ケイ,ちぎ.る,pledge; promise; vow
掲,N1,11,8,899,ケイ,かか.げる,put up (a notice); put up; hoist; display; hang out; publish; describe
躍,N1,21,8,900,ヤク,おど.る,leap; dance; skip
棄,N1,13,8,901,キ,す.てる,abandon; throw away; discard; resign; reject; sacrifice
邸,N1,8,8,905,テイ,やしき,residence; mansion
縮,N1,17,6,909,シュク,ちぢ.む; ちぢ.まる; ちぢ.める; ちぢ.れる; ちぢ.らす,shrink; contract; shrivel; wrinkle; reduce
還,N1,16,8,910,カン,かえ.る,send back; return
属,N1,12,5,912,ゾク; ショク,さかん; つく; やから,belong; genus; subordinate official; affiliated
慮,N1,15,8,916,リョ,おもんぱく.る; おもんぱか.る,prudence; thought; concern; consider; deliberate; fear
枠,N1,8,8,922,,わく,frame; framework; spindle; spool; bounding-box; (kokuji)
恵,N1,10,8,925,ケイ; エ,めぐ.む; めぐ.み,favor; blessing; grace; kindness
露,N1,21,8,928,ロ; ロウ,つゆ,dew; tears; expose; Russia
沖,N1,7,4,929,チュウ,おき; おきつ; ちゅう.する; わく,open sea; offing; rise high into sky
緩,N1,15,8,933,カン,ゆる.い; ゆる.やか; ゆる.む; ゆる.める,slacken; loosen; relax; lessen; be moderate; ease
節,N1,13,4,934,セツ; セチ,ふし; -ぶし; のっと,node; season; period; occasion; verse; clause; stanza; honor; joint; knuckle; knob; knot; tune; melody
需,N1,14,8,935,ジュ,,demand; request; need
射,N1,10,6,937,シャ,い.る; さ.す; う.つ,shoot; shine into; onto; archery
購,N1,17,8,945,コウ,,subscription; buy
揮,N1,12,6,946,キ,ふる.う,brandish; wave; wag; swing; shake
充,N1,6,8,949,ジュウ,あ.てる; み.たす,allot; fill
貢,N1,10,8,956,コウ; ク,みつ.ぐ,tribute; support; finance
鹿,N1,11,4,957,ロク,しか; か,deer
却,N1,7,8,959,キャク,かえ.って; しりぞ.く; しりぞ.ける,instead; on the contrary; rather; step back; withdraw; retreat
端,N1,14,8,960,タン,はし; は; はた; -ばた; はな,edge; origin; end; point; border; verge; cape
賃,N1,13,6,961,チン,,fare; fee; hire; rent; wages; charge
獲,N1,16,8,964,カク,え.る,seize; get; find; earn; acquire; can; may; able to
郡,N1,10,4,965,グン,こおり,county; district
併,N1,8,8,966,ヘイ,あわ.せる,join; get together; unite; collective
徹,N1,15,8,968,テツ,,penetrate; clear; pierce; strike home; sit up (all night)
貴,N1,12,6,970,キ,たっと.い; とうと.い; たっと.ぶ; とうと.ぶ,precious; value; prize; esteem; honor
衝,N1,15,8,972,ショウ,つ.く,collide; brunt; highway; opposition (astronomy); thrust; pierce; stab; prick
焦,N1,12,8,973,ショウ,こ.げる; こ.がす; こ.がれる; あせ.る; じ.れる; じ.らす,char; hurry; impatient; irritate; burn; scorch; singe
奪,N1,14,8,974,ダツ,うば.う,rob; take by force; snatch away; dispossess; plunder; usurp
災,N1,7,5,976,サイ,わざわ.い,disaster; calamity; woe; curse; evil
浦,N1,10,8,977,ホ,うら,bay; creek; inlet; gulf; beach; seacoast
析,N1,8,8,980,セキ,,chop; divide; tear; analyze
譲,N1,20,8,984,ジョウ,ゆず.る,defer; turnover; transfer; convey
称,N1,10,8,985,ショウ,たた.える; とな.える; あ.げる; かな.う; はか.り; はか.る; ほめ.る,appellation; praise; admire; name; title; fame
納,N1,10,6,987,ノウ; ナッ; ナ; ナン; トウ,おさ.める; -おさ.める; おさ.まる,settlement; obtain; reap; pay; supply; store
樹,N1,16,6,988,ジュ,き,timber; trees; wood; establish; set up
挑,N1,9,8,989,チョウ,いど.む,challenge; contend for; make love to
誘,N1,14,8,993,ユウ,さそ.う; いざな.う,entice; lead; tempt; invite; ask; call for; seduce; allure
紛,N1,10,8,994,フン,まぎ.れる; -まぎ.れ; まぎ.らす; まぎ.らわす; まぎ.らわしい,distract; be mistaken for; go astray; divert
至,N1,6,6,996,シ,いた.る,climax; arrive; proceed; reach; attain; result in
宗,N1,8,6,997,シュウ; ソウ,むね,religion; sect; denomination; main point; origin; essence
促,N1,9,8,998,ソク,うなが.す,stimulate; urge; press; demand; incite
慎,N1,13,8,999,シン,つつし.む; つつ.ましい; つつし; つつし.み,humility; be careful; discreet; prudent
控,N1,11,8,1000,コウ,ひか.える; ひか.え,withdraw; draw in; hold back; refrain from; be moderate
智,N1,12,9,1002,チ,,wisdom; intellect; reason
握,N1,12,8,1003,アク,にぎ.る,grip; hold; mould sushi; bribe
宙,N1,8,6,1005,チュウ,,mid-air; air; space; sky; memorization; interval of time
俊,N1,9,8,1007,シュン,,sagacious; genius; excellence
銭,N1,14,6,1008,セン; ゼン,ぜに; すき,coin; .01 yen; money
渋,N1,11,8,1011,ジュウ; シュウ,しぶ; しぶ.い; しぶ.る,astringent; hesitate; reluctant; have diarrhea
銃,N1,14,8,1013,ジュウ,つつ,gun; arms
操,N1,16,6,1016,ソウ; サン,みさお; あやつ.る,maneuver; manipulate; operate; steer; chastity; virginity; fidelity
携,N1,13,8,1017,ケイ,たずさ.える; たずさ.わる,portable; carry (in hand); armed with; bring along
診,N1,12,8,1019,シン,み.る,checkup; seeing; diagnose; examine
託,N1,10,8,1021,タク,かこつ.ける; かこ.つ; かこ.つける,consign; requesting; entrusting with; pretend; hint
撮,N1,15,8,1023,サツ,と.る; つま.む; -ど.り,snapshot; take pictures
誕,N1,15,6,1024,タン,,nativity; be born; declension; lie; be arbitrary
侵,N1,9,8,1025,シン,おか.す,encroach; invade; raid; trespass; violate
括,N1,9,8,1026,カツ,くく.る,fasten; tie up; arrest; constrict
謝,N1,17,5,1028,シャ,あやま.る,apologize; thank; refuse
駆,N1,14,8,1033,ク,か.ける; か.る,drive; run; gallop; advance; inspire; impel
透,N1,10,8,1035,トウ,す.く; す.かす; す.ける; とう.る; とう.す,transparent; permeate; filter; penetrate
津,N1,9,8,1036,シン,つ,haven; port; harbor; ferry
壁,N1,16,8,1037,ヘキ,かべ,wall; lining (stomach); fence
稲,N1,14,8,1038,トウ; テ,いね; いな-,rice plant
仮,N1,6,5,1039,カ; ケ,かり; かり-,sham; temporary; interim; assumed (name); informal
裂,N1,12,8,1041,レツ,さ.く; さ.ける; -ぎ.れ,split; rend; tear
敏,N1,10,8,1042,ビン,さとい,cleverness; agile; alert
是,N1,9,8,1045,ゼ; シ,これ; この; ここ,just so; this; right; justice
排,N1,11,8,1047,ハイ,,repudiate; exclude; expel; reject; line up; arrange
裕,N1,12,8,1048,ユウ,,abundant; rich; fertile
堅,N1,12,8,1049,ケン,かた.い; -がた.い,strict; hard; solid; tough; tight; reliable
訳,N1,11,6,1050,ヤク,わけ,translate; reason; circumstance; case
芝,N1,6,8,1052,シ,しば,turf; lawn
綱,N1,14,8,1053,コウ,つな,hawser; class (genus); rope; cord; cable
典,N1,8,4,1055,テン; デン,ふみ; のり,code; ceremony; law; rule
賀,N1,12,4,1056,ガ,,congratulations; joy
扱,N1,6,8,1057,ソウ; キュウ,あつか.い; あつか.う; あつか.る; こ.く,handle; entertain; thresh; strip
顧,N1,21,8,1058,コ,かえり.みる,look back; review; examine oneself; turn around
弘,N1,5,9,1059,コウ; グ,ひろ.い,vast; broad; wide
看,N1,9,6,1060,カン,み.る,watch over; see
訟,N1,11,8,1061,ショウ,,sue; accuse
戒,N1,7,8,1062,カイ,いまし.める,commandment
祉,N1,8,8,1063,シ,,welfare; happiness
誉,N1,13,8,1064,ヨ,ほま.れ; ほ.める,reputation; praise; honor; glory
歓,N1,15,8,1065,カン,よろこ.ぶ,delight; joy
奏,N1,9,6,1067,ソウ,かな.でる,play music; speak to a ruler; complete
勧,N1,13,8,1068,カン; ケン,すす.める,persuade; recommend; advise; encourage; offer
騒,N1,18,8,1069,ソウ,さわ.ぐ; うれい; さわ.がしい,boisterous; make noise; clamor; disturb; excite
